chapter,word,word_num,tot_words,ch_num,value,sum_sent,wds_norm,sum_length_adj,sum_norm,ch_name
Span notes 1 aardborg.txt,wrong,1215,4500,1,-2,-21.37296570275723,0.27205553067622035,-0.004785706606080885,-0.14115468570437667,Aardborg
Span notes 1 aardborg.txt,laugh,1243,4500,1,1.5223940820443846,-19.850571620712845,0.27832512315270935,-0.00444482123168671,-0.13110025240027717,Aardborg
Span notes 1 aardborg.txt,advantage,1309,4500,1,3.0447881640887693,-16.805783456624077,0.29310344827586204,-0.00376305048289836,-0.11099138579207823,Aardborg
Span notes 1 aardborg.txt,courtesy,1376,4500,1,3.0447881640887693,-13.760995292535307,0.3081056874160322,-0.0030812797341100108,-0.0908825191838793,Aardborg
Span notes 1 aardborg.txt,advantage,1378,4500,1,3.0447881640887693,-10.716207128446538,0.30855351545006715,-0.002399508985321661,-0.07077365257568033,Aardborg
Span notes 1 aardborg.txt,pretty,1389,4500,1,1.5223940820443846,-9.193813046402154,0.31101656963725927,-0.0020586236109274864,-0.06071921927158087,Aardborg
Span notes 1 aardborg.txt,tension,1452,4500,1,-1,-10.193813046402154,0.3251231527093596,-0.0022825376279449515,-0.06732357580625527,Aardborg
Span notes 1 aardborg.txt,threat,1456,4500,1,-2,-12.193813046402154,0.32601880877742945,-0.002730365661979882,-0.08053228887560408,Aardborg
Span notes 1 aardborg.txt,fakes,1519,4500,1,-3,-15.193813046402154,0.3401253918495298,-0.003402107713032278,-0.10034535847962729,Aardborg
Span notes 1 aardborg.txt,pay,1626,4500,1,-1,-16.193813046402152,0.36408419167039857,-0.003626021730049743,-0.1069497150143017,Aardborg
Span notes 1 aardborg.txt,attack,1662,4500,1,-1,-17.193813046402152,0.37214509628302733,-0.003849935747067208,-0.1135540715489761,Aardborg
Span notes 1 aardborg.txt,mess,1668,4500,1,-2,-19.193813046402152,0.3734885803851321,-0.004297763781102139,-0.1267627846183249,Aardborg
Span notes 1 aardborg.txt,menace,1681,4500,1,-2,-21.193813046402152,0.37639946260635915,-0.004745591815137069,-0.13997149768767372,Aardborg
Span notes 1 aardborg.txt,injured,1682,4500,1,-2,-23.193813046402152,0.37662337662337664,-0.005193419849172,-0.15318021075702254,Aardborg
Span notes 1 aardborg.txt,odd,1706,4500,1,-2,-25.193813046402152,0.3819973130317958,-0.005641247883206931,-0.16638892382637133,Aardborg
Span notes 1 aardborg.txt,abandoned,1750,4500,1,-2,-27.193813046402152,0.39184952978056425,-0.006089075917241861,-0.17959763689572014,Aardborg
Span notes 1 aardborg.txt,safe,1760,4500,1,1.5223940820443846,-25.67141896435777,0.39408866995073893,-0.005748190542847687,-0.1695432035916207,Aardborg
Span notes 1 aardborg.txt,aggressive,1784,4500,1,-2,-27.67141896435777,0.3994626063591581,-0.006196018576882617,-0.1827519166609695,Aardborg
Span notes 1 aardborg.txt,warm,1814,4500,1,1.5223940820443846,-26.149024882313384,0.406180026869682,-0.005855133202488442,-0.17269748335687002,Aardborg
Span notes 1 aardborg.txt,difficult,1859,4500,1,-1,-27.149024882313384,0.41625615763546797,-0.006079047219505908,-0.17930183989154444,Aardborg
Span notes 1 aardborg.txt,attacked,1900,4500,1,-1,-28.149024882313384,0.4254366323331841,-0.006302961236523373,-0.18590619642621883,Aardborg
Span notes 1 aardborg.txt,accomplished,2029,4500,1,3.0447881640887693,-25.104236718224616,0.4543215405284371,-0.005621190487735024,-0.1657973298180199,Aardborg
Span notes 1 aardborg.txt,successful,2050,4500,1,4.567182246133154,-20.537054472091462,0.45902373488580384,-0.0045985343645525,-0.1356340299057215,Aardborg
Span notes 1 aardborg.txt,worn,2099,4500,1,-1,-21.537054472091462,0.46999552171965964,-0.004822448381569965,-0.14223838644039588,Aardborg
Span notes 1 aardborg.txt,wins,2198,4500,1,6.089576328177539,-15.447478143913923,0.49216300940438873,-0.003458906883993265,-0.10202065322399796,Aardborg
