chapter,char,sentiment,sum_sent,words,ch_num,ch_name
SPAN notes 11b merylsward.txt,rinoa,anticipation,7,383,11.5,Merylsward
SPAN notes 11b merylsward.txt,rinoa,disgust,11,383,11.5,Merylsward
SPAN notes 11b merylsward.txt,rinoa,fear,19,383,11.5,Merylsward
SPAN notes 11b merylsward.txt,rinoa,joy,7,383,11.5,Merylsward
SPAN notes 11b merylsward.txt,rinoa,sadness,13,383,11.5,Merylsward
SPAN notes 11b merylsward.txt,rinoa,surprise,6,383,11.5,Merylsward
SPAN notes 11b merylsward.txt,rinoa,trust,14,383,11.5,Merylsward
SPAN notes 11b merylsward.txt,rook,anger,7,225,11.5,Merylsward
SPAN notes 11b merylsward.txt,rook,anticipation,9,225,11.5,Merylsward
SPAN notes 11b merylsward.txt,rook,disgust,2,225,11.5,Merylsward
SPAN notes 11b merylsward.txt,rook,fear,4,225,11.5,Merylsward
SPAN notes 11b merylsward.txt,rook,joy,4,225,11.5,Merylsward
SPAN notes 11b merylsward.txt,rook,sadness,4,225,11.5,Merylsward
SPAN notes 11b merylsward.txt,rook,surprise,4,225,11.5,Merylsward
SPAN notes 11b merylsward.txt,rook,trust,7,225,11.5,Merylsward
SPAN notes 11b merylsward.txt,xotl,anger,20,485,11.5,Merylsward
SPAN notes 11b merylsward.txt,xotl,anticipation,11,485,11.5,Merylsward
SPAN notes 11b merylsward.txt,xotl,disgust,13,485,11.5,Merylsward
SPAN notes 11b merylsward.txt,xotl,fear,22,485,11.5,Merylsward
SPAN notes 11b merylsward.txt,xotl,joy,6,485,11.5,Merylsward
SPAN notes 11b merylsward.txt,xotl,sadness,12,485,11.5,Merylsward
SPAN notes 11b merylsward.txt,xotl,surprise,13,485,11.5,Merylsward
SPAN notes 11b merylsward.txt,xotl,trust,13,485,11.5,Merylsward
SPAN notes 12 Korth.txt,LT-031,anger,66,3287,12,Korth
SPAN notes 12 Korth.txt,LT-031,anticipation,51,3287,12,Korth
SPAN notes 12 Korth.txt,LT-031,disgust,33,3287,12,Korth
SPAN notes 12 Korth.txt,LT-031,fear,92,3287,12,Korth
SPAN notes 12 Korth.txt,LT-031,joy,30,3287,12,Korth
SPAN notes 12 Korth.txt,LT-031,sadness,54,3287,12,Korth
SPAN notes 12 Korth.txt,LT-031,surprise,29,3287,12,Korth
SPAN notes 12 Korth.txt,LT-031,trust,67,3287,12,Korth
SPAN notes 12 Korth.txt,chibo,anger,15,385,12,Korth
SPAN notes 12 Korth.txt,chibo,anticipation,8,385,12,Korth
SPAN notes 12 Korth.txt,chibo,disgust,6,385,12,Korth
SPAN notes 12 Korth.txt,chibo,fear,22,385,12,Korth
SPAN notes 12 Korth.txt,chibo,joy,4,385,12,Korth
SPAN notes 12 Korth.txt,chibo,sadness,16,385,12,Korth
SPAN notes 12 Korth.txt,chibo,surprise,5,385,12,Korth
SPAN notes 12 Korth.txt,chibo,trust,14,385,12,Korth
SPAN notes 12 Korth.txt,dane,anger,6,135,12,Korth
SPAN notes 12 Korth.txt,dane,anticipation,4,135,12,Korth
SPAN notes 12 Korth.txt,dane,disgust,1,135,12,Korth
SPAN notes 12 Korth.txt,dane,fear,6,135,12,Korth
SPAN notes 12 Korth.txt,dane,joy,5,135,12,Korth
SPAN notes 12 Korth.txt,dane,sadness,3,135,12,Korth
SPAN notes 12 Korth.txt,dane,surprise,3,135,12,Korth
SPAN notes 12 Korth.txt,dane,trust,7,135,12,Korth
SPAN notes 12 Korth.txt,evertonette,anger,4,141,12,Korth
SPAN notes 12 Korth.txt,evertonette,anticipation,4,141,12,Korth
SPAN notes 12 Korth.txt,evertonette,disgust,1,141,12,Korth
SPAN notes 12 Korth.txt,evertonette,fear,4,141,12,Korth
SPAN notes 12 Korth.txt,evertonette,joy,3,141,12,Korth
SPAN notes 12 Korth.txt,evertonette,sadness,4,141,12,Korth
SPAN notes 12 Korth.txt,evertonette,surprise,8,141,12,Korth
SPAN notes 12 Korth.txt,evertonette,trust,7,141,12,Korth
SPAN notes 12 Korth.txt,rinoa,anger,9,291,12,Korth
SPAN notes 12 Korth.txt,rinoa,anticipation,6,291,12,Korth
SPAN notes 12 Korth.txt,rinoa,disgust,3,291,12,Korth
SPAN notes 12 Korth.txt,rinoa,fear,8,291,12,Korth
SPAN notes 12 Korth.txt,rinoa,joy,3,291,12,Korth
SPAN notes 12 Korth.txt,rinoa,sadness,4,291,12,Korth
SPAN notes 12 Korth.txt,rinoa,surprise,2,291,12,Korth
SPAN notes 12 Korth.txt,rinoa,trust,9,291,12,Korth
SPAN notes 12 Korth.txt,rook,anger,8,182,12,Korth
SPAN notes 12 Korth.txt,rook,anticipation,6,182,12,Korth
SPAN notes 12 Korth.txt,rook,disgust,1,182,12,Korth
SPAN notes 12 Korth.txt,rook,fear,7,182,12,Korth
SPAN notes 12 Korth.txt,rook,joy,2,182,12,Korth
SPAN notes 12 Korth.txt,rook,sadness,3,182,12,Korth
SPAN notes 12 Korth.txt,rook,surprise,4,182,12,Korth
SPAN notes 12 Korth.txt,rook,trust,6,182,12,Korth
SPAN notes 12 Korth.txt,xotl,anger,5,142,12,Korth
SPAN notes 12 Korth.txt,xotl,anticipation,5,142,12,Korth
SPAN notes 12 Korth.txt,xotl,disgust,1,142,12,Korth
SPAN notes 12 Korth.txt,xotl,fear,4,142,12,Korth
SPAN notes 12 Korth.txt,xotl,joy,4,142,12,Korth
SPAN notes 12 Korth.txt,xotl,sadness,2,142,12,Korth
SPAN notes 12 Korth.txt,xotl,surprise,4,142,12,Korth
SPAN notes 12 Korth.txt,xotl,trust,6,142,12,Korth
SPAN notes 13 Beneath Thronehold.txt,LT-031,anger,36,1906,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,LT-031,anticipation,24,1906,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,LT-031,disgust,14,1906,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,LT-031,fear,39,1906,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,LT-031,joy,21,1906,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,LT-031,sadness,28,1906,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,LT-031,surprise,17,1906,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,LT-031,trust,36,1906,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,chibo,anger,2,130,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,chibo,anticipation,2,130,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,chibo,fear,4,130,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,chibo,sadness,1,130,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,chibo,surprise,2,130,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,chibo,trust,1,130,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,dane,anger,3,100,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,dane,anticipation,6,100,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,dane,disgust,2,100,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,dane,fear,3,100,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,dane,joy,3,100,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,dane,sadness,2,100,13,Beneath Thronehold
